Id,English,Portuguese
1,the,o/a
2,be,ser/estar
3,to,para
4,of,de
5,and,e
6,a,um/uma
7,in,em
8,that,que
9,have,ter
10,I,eu
11,for,para
12,not,não
13,on,em/sobre
14,with,com
15,he,ele
16,as,como
17,you,você
18,do,fazer
19,at,em/no
20,this,este/esta
21,but,mas
22,his,seu/dele
23,by,por
24,from,de
25,they,eles/elas
26,we,nós
27,say,dizer
28,her,seu/dela
29,she,ela
30,or,ou
31,an,um/uma (antes de vogal)
32,will,ir (futuro auxiliar)
33,my,meu/minha
34,one,um/uma
35,all,todo/todos
36,would,gostaria/iria
37,there,lá
38,their,seu/deles
39,what,o que
40,so,então
41,up,acima
42,out,fora
43,if,se
44,about,sobre
45,who,quem
46,get,obter/pegar
47,which,qual/que
48,go,ir
49,me,me/mim
50,when,quando
51,make,fazer/criar
52,can,poder
53,like,gostar
54,time,tempo
55,no,não/nenhum
56,just,apenas
57,him,ele (objeto)
58,know,saber/conhecer
59,take,tomar/levar
60,person,pessoa
61,into,dentro de
62,year,ano
63,your,seu
64,good,bom
65,some,algum/alguns
66,could,poderia
67,them,eles/elas (objeto)
68,see,ver
69,other,outro
70,than,do que
71,then,então
72,now,agora
73,look,olhar
74,only,apenas/somente
75,come,vir
76,its,seu/dela (neutro)
77,over,sobre/acima
78,think,pensar
79,also,também
80,back,de volta
81,after,depois
82,use,usar
83,two,dois/duas
84,how,como
85,our,nosso/nossa
86,work,trabalhar
87,first,primeiro
88,well,bem
89,way,caminho/forma
90,even,até mesmo
91,new,novo
92,want,querer
93,because,porque (resposta)
94,any,qualquer
95,these,estes/estas
96,give,dar
97,day,dia
98,most,maioria
99,us,nós (objeto)
100,name,nome
101,very,muito
102,through,através
103,backward,para trás
104,still,ainda
105,man,homem
106,thing,coisa
107,should,deveria
108,child,criança
109,find,encontrar
110,here,aqui
111,over,sobre/terminado
112,down,para baixo
113,may,pode (possibilidade)
114,student,estudante
115,call,chamar/ligar
116,feel,sentir
117,leave,deixar/sair
118,put,colocar
119,old,velho
120,while,enquanto
121,mean,significar
122,keep,manter
123,let,deixar
124,every,cada/todo
125,great,ótimo/excelente
126,big,grande
127,group,grupo
128,begin,começar
129,seem,parecer
130,help,ajudar
131,talk,falar
132,where,onde
133,turn,virar
134,problem,problema
135,start,começar
136,hand,mão
137,might,poderia/talvez
138,show,mostrar
139,part,parte
140,place,lugar
141,live,viver/morar
142,case,caso
143,week,semana
144,company,empresa
145,system,sistema
146,each,cada
147,right,certo/direito
148,program,programa
149,hear,ouvir
150,question,pergunta
151,during,durante
152,play,jogar/tocar
153,government,governo
154,run,correr
155,small,pequeno
156,number,número
157,off,desligado/fora
158,always,sempre
159,move,mover
160,night,noite
161,live(ação),ao vivo
162,believe,acreditar
163,hold,segurar
164,bring,trazer
165,happen,acontecer
166,next,próximo
167,without,sem
168,before,antes
169,large,grande/amplo
170,all,todos/tudo
171,million,milhão
172,under,abaixo
173,write,escrever
174,money,dinheiro
175,story,história
176,today,hoje
177,fact,fato
178,morning,manhã
179,lots,muitos
180,around,ao redor
181,book,livro
182,eye,olho
183,job,emprego
184,word,palavra
185,business,negócio
186,issue,questão/problema
187,side,lado
188,kind,tipo/gentil
189,four,quatro
190,head,cabeça
191,far,longe
192,black,preto
193,long,longo
194,both,ambos
195,little,pequeno/pouco
196,housing,hospedagem/moradia
197,home,lar
198,room,quarto/sala
199,water,água
200,write,escrever
201,mother,mãe
202,area,área
203,national,nacional
204,car,carro
205,understand,entender
206,open,abrir/aberto
207,service,serviço
208,market,mercado
209,offer,oferecer
210,remember,lembrar
211,death,morte
212,course,curso
213,company,empresa
214,stand,ficar de pé
215,bring,trazer
216,voice,voz
217,team,time/equipe
218,love,amor/amar
219,cause,causa
220,grow,crescer
221,strong,forte
222,free,livre/grátis
223,accept,aceitar
224,both,ambos
225,probably,provavelmente
226,cold,frio
227,figure,figura/número
228,plan,plano
229,product,produto
230,second,segundo
231,under,baixo/debaixo
232,thank,agradecer
233,able,capaz
234,boy,menino
235,game,jogo
236,food,comida
237,buy,comprar
238,process,processo
239,close,fechar/perto
240,song,música
241,color,cor
242,stop,parar
243,read,ler
244,allow,permitir
245,add,adicionar
246,office,escritório
247,face,rosto
248,rather,em vez/disso
249,yet,ainda
250,level,nível
251,sit,sentar
252,door,porta
253,health,saúde
254,person,pessoa
255,art,arte
256,war,guerra
257,history,história
258,party,festa/partido
259,result,resultado
260,change,mudar/mudança
261,reason,razão/motivo
262,research,pesquisa
263,girl,menina
264,guy,rapaz
265,moment,momento
266,air,ar
267,teacher,professor(a)
268,force,força
269,education,educação
270,foot,pé
271,though,embora
272,policy,política (diretriz)
273,age,idade
274,upon,sobre/em cima de
275,evidence,evidência
276,summer,verão
277,fall,cair/outono
278,relationship,relacionamento
279,travel,viajar
280,create,criar
281,perhaps,talvez
282,certain,certo/determinado
283,industry,indústria
284,sure,certo/seguro
285,death,morte
286,public,público
287,involve,envolver
288,stay,ficar
289,full,cheio
290,model,modelo
291,join,juntar-se
292,season,estação/temporada
293,society,sociedade
294,tax,imposto
295,direct,direto
296,heart,coração
297,impact,impacto
298,measure,medir/medida
299,happy,feliz
300,enough,suficiente
301,little,pouco/pequeno
302,eat,comer
303,perform,executar/atuar
304,building,prédio
305,stay,fique
306,meeting,reunião
307,win,ganhar
308,lose,perder
309,pay,pagar
310,law,lei
311,office,escritório
312,die,morrer
313,send,enviar
314,expect,esperar (expectativa)
315,sense,sentido
316,community,comunidade
317,month,mês
318,record,gravar/registro
319,art,arte
320,end,fim
321,visit,visitar
322,watch,assistir/relógio
323,hope,esperar/ter esperança
324,base,basear/base
325,form,formar/formulário
326,report,relatório/reportar
327,action,ação
328,sit,sentar
329,care,cuidar/cuidado
330,couple,casal/par
331,little,pequeno/pouco
332,late,tarde (tempo)
333,hard,difícil/duro
334,field,campo
335,else,mais/outro
336,pass,passar
337,former,antigo/anterior
338,sell,vender
339,major,principal/maior
340,role,papel (função)
341,join,unir-se
342,sometimes,às vezes
343,require,requerer
344,along,ao longo
345,development,desenvolvimento
346,yourself,você mesmo
347,paper,papel
348,answer,resposta
349,grow,crescer
350,line,linha
351,energy,energia
